247,Rivals
School:  Rutgers Year:  2012 Name:  Darius Hamilton Position:  SDE City:  Ramsey State:  NJ Height:  76 Weight:  250 Stars:  5,School:  Alabama Year:  2012 Name:  Dakota Ball Position:  DT City:  Lindale State:  GA Height:  74 Weight:  292 Stars:  3,
School:  UCLA Year:  2012 Name:  Ellis McCarthy Position:  DT City:  Monrovia State:  CA Height:  77 Weight:  315 Stars:  5,School:  Alabama Year:  2012 Name:  Caleb Gulledge Position:  OL City:  Prattville State:  AL Height:  76 Weight:  255 Stars:  3,
School:  Florida State Year:  2012 Name:  Ronald Darby Position:  CB City:  Oxon Hill State:  MD Height:  71 Weight:  174 Stars:  5,School:  Alabama Year:  2012 Name:  Eddie Williams Position:  ATH City:  Panama City State:  FL Height:  76 Weight:  204 Stars:  5,
School:  Oregon State Year:  2012 Name:  Isaac Seumalo Position:  OG City:  Corvallis State:  OR Height:  75 Weight:  280 Stars:  5,School:  Alabama Year:  2012 Name:  Brandon Hill Position:  OL City:  Collierville State:  TN Height:  78 Weight:  352 Stars:  3,
School:  Notre Dame Year:  2012 Name:  Gunner Kiel Position:  PRO City:  Columbus State:  IN Height:  76 Weight:  210 Stars:  5,School:  Appalachian State Year:  2012 Name:  Chris Starks Position:  WR City:  Lithonia State:  GA Height:  72 Weight:  175 Stars:  0,
School:  Alabama Year:  2012 Name:  T.J. Yeldon Position:  RB City:  Daphne State:  AL Height:  74 Weight:  205 Stars:  5,School:  Appalachian State Year:  2012 Name:  John Law Position:  LB City:  Atlanta State:  GA Height:  71 Weight:  227 Stars:  2,
School:  Florida State Year:  2012 Name:  Chris Casher Position:  WDE City:  Mobile State:  AL Height:  77 Weight:  240 Stars:  5,School:  Appalachian State Year:  2012 Name:  Jamie Collmar Position:  OL City:  Gastonia State:  NC Height:  75 Weight:  273 Stars:  2,
School:  Stanford Year:  2012 Name:  Andrus Peat Position:  OT City:  Tempe State:  AZ Height:  79 Weight:  305 Stars:  5,School:  Appalachian State Year:  2012 Name:  Darian Small Position:  DT City:  Hampton State:  GA Height:  74 Weight:  268 Stars:  0,
School:  USC Year:  2012 Name:  Nelson Agholor Position:  ATH City:  Tampa State:  FL Height:  73 Weight:  185 Stars:  5,School:  Appalachian State Year:  2012 Name:  Greg Milhouse Position:  DT City:  Garner State:  NC Height:  74 Weight:  251 Stars:  0,
School:  Pittsburgh Year:  2012 Name:  Rushel Shell Position:  RB City:  Aliquippa State:  PA Height:  72 Weight:  215 Stars:  5,School:  Appalachian State Year:  2012 Name:  Tashion Singleton Position:  LB City:  Charlotte State:  NC Height:  75 Weight:  246 Stars:  0,
School:  Texas A&M Year:  2012 Name:  Thomas Johnson Position:  WR City:  Dallas State:  TX Height:  71 Weight:  175 Stars:  5,School:  Appalachian State Year:  2012 Name:  Alex Gray Position:  DB City:  Suwanee State:  GA Height:  75 Weight:  198 Stars:  0,
School:  Ole Miss Year:  2012 Name:  Channing Ward Position:  WDE City:  Aberdeen State:  MS Height:  75 Weight:  250 Stars:  5,School:  Appalachian State Year:  2012 Name:  Kevin Walton Position:  DB City:  Greensboro State:  NC Height:  73 Weight:  180 Stars:  0,
School:  Georgia Year:  2012 Name:  Jordan Jenkins Position:  WDE City:  Hamilton State:  GA Height:  75 Weight:  242 Stars:  5,School:  Appalachian State Year:  2012 Name:  Aaron Krah Position:  DB City:  Durham State:  NC Height:  71 Weight:  179 Stars:  2,
School:  Florida Year:  2012 Name:  Dante Fowler Position:  WDE City:  Saint Petersburg State:  FL Height:  75 Weight:  258 Stars:  4,School:  Appalachian State Year:  2012 Name:  Malachi Jones Position:  WR City:  Lawrenceville State:  GA Height:  73 Weight:  182 Stars:  2,
School:  Florida State Year:  2012 Name:  Mario Pender Position:  RB City:  Cape Coral State:  FL Height:  71 Weight:  194 Stars:  4,School:  Appalachian State Year:  2012 Name:  Barrett Burns Position:  TE City:  Woodstock State:  GA Height:  76 Weight:  218 Stars:  0,
School:  Stanford Year:  2012 Name:  Joshua Garnett Position:  OG City:  Puyallup State:  WA Height:  77 Weight:  304 Stars:  4,School:  Appalachian State Year:  2012 Name:  Matthew Privette Position:  OL City:  Marshville State:  NC Height:  76 Weight:  276 Stars:  0,
School:  UCLA Year:  2012 Name:  Devin Fuller Position:  ATH City:  Westwood State:  NJ Height:  72 Weight:  185 Stars:  4,School:  Appalachian State Year:  2012 Name:  Tyson Fernandez Position:  OL City:  Fuquay-Varina State:  NC Height:  74 Weight:  315 Stars:  0,
School:  South Carolina Year:  2012 Name:  Shaq Roland Position:  ATH City:  Lexington State:  SC Height:  74 Weight:  204 Stars:  4,School:  Appalachian State Year:  2012 Name:  Greg Hall Position:  DE City:  Bogart State:  GA Height:  75 Weight:  235 Stars:  0,
School:  Alabama Year:  2012 Name:  Reggie Ragland Position:  ILB City:  Madison State:  AL Height:  75 Weight:  245 Stars:  4,School:  Appalachian State Year:  2012 Name:  Olawale Dada Position:  LB City:  Columbus State:  GA Height:  72 Weight:  210 Stars:  0,
School:  Houston Year:  2012 Name:  Deontay Greenberry Position:  WR City:  Fresno State:  CA Height:  75 Weight:  184 Stars:  4,School:  Appalachian State Year:  2012 Name:  Dante Blackmon Position:  DB City:  Covington State:  GA Height:  71 Weight:  183 Stars:  3,
School:  Alabama Year:  2012 Name:  Cyrus Jones Position:  ATH City:  Baltimore State:  MD Height:  70 Weight:  195 Stars:  4,School:  Appalachian State Year:  2012 Name:  Paul Magloire Position:  QB City:  New Berlin State:  NY Height:  73 Weight:  205 Stars:  2,
School:  Virginia Year:  2012 Name:  Eli Harold Position:  WDE City:  Virginia Beach State:  VA Height:  76 Weight:  220 Stars:  4,School:  Appalachian State Year:  2012 Name:  Tysean Holloway Position:  ATH City:  Asheville State:  NC Height:  73 Weight:  187 Stars:  2,
School:  Alabama Year:  2012 Name:  Chris Black Position:  WR City:  Jacksonville State:  FL Height:  71 Weight:  175 Stars:  4,School:  Arizona Year:  2012 Name:  Wayne Capers Position:  WR City:  Bridgeville State:  PA Height:  73 Weight:  205 Stars:  3,
School:  Alabama Year:  2012 Name:  Amari Cooper Position:  WR City:  Miami State:  FL Height:  73 Weight:  183 Stars:  4,School:  Arizona Year:  2012 Name:  Bryan Harper Position:  ATH City:  Ontario State:  CA Height:  72 Weight:  180 Stars:  3,
School:  California Year:  2012 Name:  Zach Kline Position:  PRO City:  Danville State:  CA Height:  74 Weight:  190 Stars:  4,School:  Arizona Year:  2012 Name:  Dylan Cozens Position:  DE City:  Scottsdale State:  AZ Height:  77 Weight:  235 Stars:  3,
School:  South Carolina Year:  2012 Name:  Mike Davis Position:  RB City:  Stone Mountain State:  GA Height:  71 Weight:  195 Stars:  4,School:  Arizona Year:  2012 Name:  J.T. Washington Position:  ATH City:  Satellite Beach State:  FL Height:  69 Weight:  160 Stars:  3,
School:  Michigan Year:  2012 Name:  Kyle Kalis Position:  OG City:  Lakewood State:  OH Height:  77 Weight:  300 Stars:  4,School:  Arizona Year:  2012 Name:  Jamar Allah Position:  DB City:  Phoenix State:  AZ Height:  73 Weight:  180 Stars:  2,
School:  USC Year:  2012 Name:  Leonard Williams Position:  SDE City:  Daytona Beach State:  FL Height:  77 Weight:  265 Stars:  4,School:  Arizona Year:  2012 Name:  Cody Ippolito Position:  LB City:  Scottsdale State:  AZ Height:  71 Weight:  221 Stars:  2,
School:  None Year:  2012 Name:  Tee Shepard Position:  CB City:  Fresno State:  CA Height:  72 Weight:  173 Stars:  4,School:  Arizona Year:  2012 Name:  Clive Georges Position:  WR City:  Key West State:  FL Height:  73 Weight:  170 Stars:  3,
School:  Texas Year:  2012 Name:  Kennedy Estelle Position:  OT City:  Pearland State:  TX Height:  79 Weight:  300 Stars:  4,School:  Arizona Year:  2012 Name:  William Parks Position:  DB City:  Philadelphia State:  PA Height:  74 Weight:  180 Stars:  3,
School:  Georgia Year:  2012 Name:  Jonathan Taylor Position:  DT City:  Millen State:  GA Height:  76 Weight:  317 Stars:  4,School:  Arizona Year:  2012 Name:  Keoni Bush-Loo Position:  TE City:  Honolulu State:  HI Height:  76 Weight:  240 Stars:  2,
School:  Notre Dame Year:  2012 Name:  DaVonte' Neal Position:  ATH City:  Paradise Valley State:  AZ Height:  69 Weight:  170 Stars:  4,School:  Arizona Year:  2012 Name:  Leo Thomas Position:  DB City:  San Antonio State:  TX Height:  75 Weight:  185 Stars:  3,
School:  Stanford Year:  2012 Name:  Noor Davis Position:  OLB City:  Leesburg State:  FL Height:  76 Weight:  233 Stars:  4,School:  Arizona Year:  2012 Name:  Trey Griffey Position:  WR City:  Orlando State:  FL Height:  74 Weight:  190 Stars:  3,
School:  Texas Year:  2012 Name:  Curtis Riser Position:  OG City:  DeSoto State:  TX Height:  76 Weight:  285 Stars:  4,School:  Arizona Year:  2012 Name:  Yamen Sanders Position:  DB City:  Culver City State:  CA Height:  76 Weight:  190 Stars:  2,
School:  Florida Year:  2012 Name:  Brian Poole Position:  S City:  Bradenton State:  FL Height:  70 Weight:  192 Stars:  4,School:  Arizona Year:  2012 Name:  Javelle Allen Position:  QB City:  Prosper State:  TX Height:  73 Weight:  207 Stars:  3,
School:  Florida Year:  2012 Name:  Jessamen Dunker Position:  OG City:  Boynton Beach State:  FL Height:  77 Weight:  315 Stars:  4,School:  Arizona Year:  2012 Name:  Dakota Conwell Position:  LB City:  Pittsburgh State:  PA Height:  73 Weight:  210 Stars:  3,
School:  USC Year:  2012 Name:  Jabari Ruffin Position:  OLB City:  Downey State:  CA Height:  75 Weight:  245 Stars:  4,School:  Arizona Year:  2012 Name:  C.J. Dozier Position:  LB City:  Temecula State:  CA Height:  74 Weight:  205 Stars:  3,
School:  Michigan Year:  2012 Name:  Ondre Pipkins Position:  DT City:  Kansas City State:  MO Height:  75 Weight:  305 Stars:  4,School:  Arizona Year:  2012 Name:  Anthony Lopez Position:  RB City:  Gilbert State:  AZ Height:  71 Weight:  195 Stars:  3,
School:  Alabama Year:  2012 Name:  Geno Smith Position:  CB City:  Atlanta State:  GA Height:  72 Weight:  185 Stars:  4,School:  Arizona Year:  2012 Name:  Jarrell Bennett Position:  WR City:  New Orleans State:  LA Height:  70 Weight:  170 Stars:  3,
School:  USC Year:  2012 Name:  Max Tuerk Position:  OT City:  Rancho Santa Margarita State:  CA Height:  78 Weight:  281 Stars:  4,School:  Arizona Year:  2012 Name:  Dwight Melvin Position:  DE City:  Laveen State:  AZ Height:  72 Weight:  245 Stars:  3,
School:  Colorado Year:  2012 Name:  Yuri Wright Position:  CB City:  Ramsey State:  NJ Height:  74 Weight:  180 Stars:  4,School:  Arizona Year:  2012 Name:  Zach Hemmila Position:  OL City:  Chandler State:  AZ Height:  75 Weight:  275 Stars:  4,
School:  USC Year:  2012 Name:  Zach Banner Position:  OT City:  Lakewood State:  WA Height:  81 Weight:  330 Stars:  4,School:  Arizona Year:  2012 Name:  Kyle Kelley Position:  DE City:  Irvine State:  CA Height:  75 Weight:  230 Stars:  4,
School:  Northwestern Year:  2012 Name:  Ifeadi Odenigbo Position:  OLB City:  Dayton State:  OH Height:  75 Weight:  212 Stars:  4,School:  Arizona Year:  2012 Name:  Cayman Bundage Position:  OL City:  Oklahoma City State:  OK Height:  74 Weight:  293 Stars:  3,
School:  Baylor Year:  2012 Name:  Javonte Magee Position:  DT City:  San Antonio State:  TX Height:  78 Weight:  264 Stars:  4,School:  Arizona Year:  2012 Name:  T.D. Gross Position:  OL City:  Santee State:  CA Height:  78 Weight:  260 Stars:  2,
School:  Stanford Year:  2012 Name:  Alex Carter Position:  S City:  Ashburn State:  VA Height:  73 Weight:  182 Stars:  4,School:  Arizona Year:  2012 Name:  Beau Boyster Position:  OL City:  Bellflower State:  CA Height:  76 Weight:  285 Stars:  3,
School:  Florida State Year:  2012 Name:  Ukeme Eligwe Position:  OLB City:  Stone Mountain State:  GA Height:  75 Weight:  225 Stars:  4,School:  Arizona Year:  2012 Name:  Josh Kern Position:  QB City:  San Antonio State:  TX Height:  77 Weight:  190 Stars:  3,
School:  Texas Year:  2012 Name:  Cayleb Jones Position:  WR City:  Austin State:  TX Height:  75 Weight:  198 Stars:  4,School:  Arizona State Year:  2012 Name:  Jaxon Hood Position:  DT City:  Chandler State:  AZ Height:  73 Weight:  280 Stars:  3,
School:  USC Year:  2012 Name:  Jordan Simmons Position:  OG City:  Encino State:  CA Height:  76 Weight:  330 Stars:  4,School:  Arizona State Year:  2012 Name:  Marion Grice Position:  RB City:  Brenham State:  TX Height:  72 Weight:  215 Stars:  4,
School:  Clemson Year:  2012 Name:  Carlos Watkins Position:  DT City:  Forest City State:  NC Height:  76 Weight:  290 Stars:  4,School:  Arizona State Year:  2012 Name:  Steffon Martin Position:  LB City:  Yuma State:  AZ Height:  74 Weight:  235 Stars:  3,
School:  Auburn Year:  2012 Name:  Avery Young Position:  OT City:  Palm Beach Gardens State:  FL Height:  78 Weight:  281 Stars:  4,School:  Arizona State Year:  2012 Name:  Laiu Moeakiola Position:  DB City:  Euless State:  TX Height:  72 Weight:  185 Stars:  3,
School:  Oklahoma Year:  2012 Name:  Alex Ross Position:  RB City:  Jenks State:  OK Height:  74 Weight:  213 Stars:  4,School:  Arizona State Year:  2012 Name:  Chris Young Position:  DB City:  Yuma State:  AZ Height:  74 Weight:  220 Stars:  3,
School:  Georgia Year:  2012 Name:  Todd Gurley Position:  RB City:  Tarboro State:  NC Height:  73 Weight:  209 Stars:  4,School:  Arizona State Year:  2012 Name:  William McGehee Position:  OL City:  Corsicana State:  TX Height:  78 Weight:  280 Stars:  2,
School:  Michigan Year:  2012 Name:  Joe Bolden Position:  ILB City:  Cincinnati State:  OH Height:  75 Weight:  220 Stars:  4,School:  Arizona State Year:  2012 Name:  D.J. Foster Position:  ATH City:  Scottsdale State:  AZ Height:  71 Weight:  190 Stars:  4,
School:  Alabama Year:  2012 Name:  Ryan Anderson Position:  OLB City:  Daphne State:  AL Height:  75 Weight:  250 Stars:  4,School:  Arizona State Year:  2012 Name:  Mike Pennel Position:  DT City:  Scottsdale State:  AZ Height:  77 Weight:  340 Stars:  3,
School:  Clemson Year:  2012 Name:  Germone Hopper Position:  WR City:  Charlotte State:  NC Height:  71 Weight:  175 Stars:  4,School:  Arizona State Year:  2012 Name:  Milo Jordan Position:  DT City:  Corona State:  CA Height:  74 Weight:  275 Stars:  3,
School:  Oklahoma Year:  2012 Name:  Durron Neal Position:  WR City:  Saint Louis State:  MO Height:  73 Weight:  180 Stars:  4,School:  Arizona State Year:  2012 Name:  Terrell Davis Position:  RB City:  Victoria State:  BC Height:  72 Weight:  215 Stars:  2,
School:  Florida Year:  2012 Name:  Kent Taylor Position:  TE City:  Land O Lakes State:  FL Height:  77 Weight:  210 Stars:  4,School:  Arizona State Year:  2012 Name:  Alonzo Agwuenu Position:  WR City:  Walnut State:  CA Height:  76 Weight:  205 Stars:  3,
School:  Ohio State Year:  2012 Name:  Tommy Schutt Position:  DT City:  Glen Ellyn State:  IL Height:  74 Weight:  300 Stars:  4,School:  Arizona State Year:  2012 Name:  Darwin Rogers Position:  TE City:  Yuma State:  AZ Height:  76 Weight:  245 Stars:  2,
School:  Stanford Year:  2012 Name:  Barry J. Sanders Position:  APB City:  Oklahoma City State:  OK Height:  69 Weight:  180 Stars:  4,School:  Arizona State Year:  2012 Name:  Easton Wahlstrom Position:  OL City:  Scottsdale State:  AZ Height:  73 Weight:  240 Stars:  2,
School:  Auburn Year:  2012 Name:  Ricky Parks Position:  TE City:  Hogansville State:  GA Height:  76 Weight:  235 Stars:  4,School:  Arizona State Year:  2012 Name:  Stephon McCray Position:  OL City:  Fresno State:  CA Height:  75 Weight:  300 Stars:  3,
School:  Michigan Year:  2012 Name:  Erik Magnuson Position:  OT City:  Encinitas State:  CA Height:  78 Weight:  275 Stars:  4,School:  Arizona State Year:  2012 Name:  Evan Goodman Position:  OL City:  Lakeland State:  FL Height:  76 Weight:  290 Stars:  4,
School:  California Year:  2012 Name:  Bryce Treggs Position:  WR City:  Bellflower State:  CA Height:  71 Weight:  170 Stars:  4,School:  Arizona State Year:  2012 Name:  Carlos Mendoza Position:  LB City:  Westlake Village State:  CA Height:  73 Weight:  215 Stars:  3,
School:  Oregon Year:  2012 Name:  Bralon Addison Position:  WR City:  Missouri City State:  TX Height:  70 Weight:  182 Stars:  4,School:  Arizona State Year:  2012 Name:  Matthew Rowe Position:  LB City:  Long Beach State:  CA Height:  74 Weight:  220 Stars:  3,
School:  Notre Dame Year:  2012 Name:  Elijah Shumate Position:  S City:  Ramsey State:  NJ Height:  73 Weight:  185 Stars:  4,School:  Arizona State Year:  2012 Name:  Kody Kohl Position:  TE City:  Gilbert State:  AZ Height:  75 Weight:  220 Stars:  2,
School:  LSU Year:  2012 Name:  Kwon Alexander Position:  OLB City:  Oxford State:  AL Height:  74 Weight:  210 Stars:  4,School:  Arizona State Year:  2012 Name:  Jake Sheffield Position:  DT City:  Palm Desert State:  CA Height:  75 Weight:  275 Stars:  3,
School:  Ohio State Year:  2012 Name:  Se'Von Pittman Position:  WDE City:  Canton State:  OH Height:  77 Weight:  235 Stars:  4,School:  Arizona State Year:  2012 Name:  Oliver Johnson Position:  DB City:  Woodland Hills State:  CA Height:  73 Weight:  185 Stars:  3,
School:  Clemson Year:  2012 Name:  Travis Blanks Position:  S City:  Tallahassee State:  FL Height:  73 Weight:  195 Stars:  4,School:  Arizona State Year:  2012 Name:  Richard Smith Position:  WR City:  Long Beach State:  CA Height:  68 Weight:  160 Stars:  3,
School:  Michigan State Year:  2012 Name:  Aaron Burbridge Position:  WR City:  Farmington State:  MI Height:  73 Weight:  190 Stars:  4,School:  Arizona State Year:  2012 Name:  Salamo Fiso Position:  LB City:  Long Beach State:  CA Height:  72 Weight:  200 Stars:  3,
School:  Tennessee Year:  2012 Name:  LaDarrell McNeil Position:  S City:  Dallas State:  TX Height:  73 Weight:  195 Stars:  4,School:  Arizona State Year:  2012 Name:  Josiah Blandin Position:  WR City:  Long Beach State:  CA Height:  76 Weight:  185 Stars:  3,
School:  Auburn Year:  2012 Name:  Jordan Diamond Position:  OT City:  Chicago State:  IL Height:  78 Weight:  290 Stars:  4,School:  Arizona State Year:  2012 Name:  Luke Williams Position:  DB City:  Mission Viejo State:  CA Height:  75 Weight:  210 Stars:  0,
School:  Oklahoma Year:  2012 Name:  Sterling Shepard Position:  WR City:  Oklahoma City State:  OK Height:  71 Weight:  180 Stars:  4,School:  Arkansas Year:  2012 Name:  MeKale McKay Position:  WR City:  Louisville State:  KY Height:  78 Weight:  192 Stars:  3,
School:  Miami Year:  2012 Name:  Angelo Jean-Louis Position:  WR City:  West Palm Beach State:  FL Height:  72 Weight:  180 Stars:  4,School:  Arkansas Year:  2012 Name:  Darius Philon Position:  DE City:  Prichard State:  AL Height:  73 Weight:  282 Stars:  3,
School:  Stanford Year:  2012 Name:  Aziz Shittu Position:  DT City:  Atwater State:  CA Height:  75 Weight:  275 Stars:  4,School:  Arkansas Year:  2012 Name:  Otha Peters Position:  LB City:  Covington State:  LA Height:  73 Weight:  221 Stars:  4,
School:  Ohio State Year:  2012 Name:  Bri'onte Dunn Position:  RB City:  Canton State:  OH Height:  74 Weight:  218 Stars:  4,School:  Arkansas Year:  2012 Name:  Demetrius Wilson Position:  WR City:  Glendale State:  AZ Height:  73 Weight:  175 Stars:  3,
School:  Texas Year:  2012 Name:  Shiro Davis Position:  OLB City:  Shreveport State:  LA Height:  75 Weight:  220 Stars:  4,School:  Arkansas Year:  2012 Name:  Vin Ascolese Position:  LB City:  North Bergen State:  NJ Height:  74 Weight:  215 Stars:  2,
School:  Missouri Year:  2012 Name:  Evan Boehm Position:  OG City:  Lees Summit State:  MO Height:  75 Weight:  290 Stars:  4,School:  Arkansas Year:  2012 Name:  Will Hines Position:  DB City:  Waco State:  TX Height:  73 Weight:  175 Stars:  3,
School:  Wisconsin Year:  2012 Name:  Dan Voltz Position:  OG City:  Barrington State:  IL Height:  76 Weight:  285 Stars:  4,School:  Arkansas Year:  2012 Name:  Taiwan Johnson Position:  DE City:  Manvel State:  TX Height:  75 Weight:  240 Stars:  3,
School:  Auburn Year:  2012 Name:  JaQuay Savage Position:  WR City:  Tyrone State:  GA Height:  76 Weight:  200 Stars:  4,School:  Arkansas Year:  2012 Name:  Austin Flynn Position:  DE City:  Wilmington State:  CA Height:  76 Weight:  260 Stars:  3,
School:  Alabama Year:  2012 Name:  Dillon Lee Position:  OLB City:  Buford State:  GA Height:  76 Weight:  235 Stars:  4,School:  Arkansas Year:  2012 Name:  Jonathan Williams Position:  RB City:  Allen State:  TX Height:  71 Weight:  205 Stars:  4,
School:  USC Year:  2012 Name:  Jalen Cope-Fitzpatrick Position:  TE City:  Rocklin State:  CA Height:  77 Weight:  235 Stars:  4,School:  Arkansas Year:  2012 Name:  JaMichael Winston Position:  DE City:  Prichard State:  AL Height:  77 Weight:  226 Stars:  3,
School:  Oregon Year:  2012 Name:  Byron Marshall Position:  RB City:  San Jose State:  CA Height:  70 Weight:  195 Stars:  4,School:  Arkansas Year:  2012 Name:  Defonta Lowe Position:  DB City:  Bearden State:  AR Height:  75 Weight:  185 Stars:  3,
School:  Texas Tech Year:  2012 Name:  Michael Starts Position:  OT City:  Waco State:  TX Height:  77 Weight:  285 Stars:  4,School:  Arkansas Year:  2012 Name:  Ray Buchanan Jr. Position:  DB City:  Suwanee State:  GA Height:  71 Weight:  178 Stars:  3,
School:  Washington Year:  2012 Name:  Cyler Miles Position:  DUAL City:  Denver State:  CO Height:  76 Weight:  215 Stars:  4,School:  Arkansas Year:  2012 Name:  Deatrich Wise Position:  DE City:  Carrollton State:  TX Height:  77 Weight:  235 Stars:  3,
School:  Texas A&M Year:  2012 Name:  De'Vante Harris Position:  CB City:  Mesquite State:  TX Height:  71 Weight:  170 Stars:  4,School:  Arkansas Year:  2012 Name:  Keon Hatcher Position:  WR City:  Owasso State:  OK Height:  74 Weight:  205 Stars:  3,
